"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","2010-04-11","4.1"," 1312"," 1311","26.9",,,,"29.4","20.6","  110","   90","7.6","10.3"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","2010-04-26","3.8"," 0928"," 0927","71.1",,,,"28.3","20.0","  270","  280","11.6","17.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","2010-05-27","2.2"," 1601"," 1545","0.0",,,,"32.2","23.3","  130","  120","6.7","10.3"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","2010-08-01","1.5"," 1341"," 1340","0.3",,,,"33.9","25.6","  220","  210","6.7","9.4"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","2010-09-07","3.0"," 1304"," 1303","17.5",,,,"32.2","24.4","  120","  130","11.6","16.5"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","2010-11-24","2.3"," 1801"," 1621","1.3",,,,"27.8","21.1","  100","   30","6.3","7.6"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","2011-04-22","4.8"," 1525"," 1525","0.0",,,,"29.4","22.2","  110","   90","8.0","10.3"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","2011-07-04","3.4"," 0428"," 0426","15.7",,,,"32.2","24.4","   90","   90","9.4","11.2"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","2011-08-16","1.4"," 1142"," 1407","0.5",,,,"32.2","23.9","  190","  180","7.2","8.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","2011-09-12","1.4"," 1738"," 1524","0.0",,,,"32.2","27.2","   80","  140","6.3","8.9"
